88.15.95.180 - - [26/Oct/2018:15:08:18 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:08:18 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:10:19 +0200] "GET / HTTP/2.0" 500 6 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:10:19 +0200] "GET /favicon.ico HTTP/2.0" 500 6 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:10:44 +0200] "GET / HTTP/2.0" 500 6 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:10:44 +0200] "GET /favicon.ico HTTP/2.0" 500 6 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:10:53 +0200] "GET / HTTP/2.0" 500 6 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:10:53 +0200] "GET /favicon.ico HTTP/2.0" 500 6 "https://api.mk1.es/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:02 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:11:04 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
